"選舉
區",號次,照片,"姓
名","出
生
年","性
別","特殊
身分","戶籍
城市","戶籍
地區",學歷,經歷,政見
"台
東
縣",1,,"莊
伯
昭",58,男,無,"台
東
縣","台
東
市",,機車維修技師,"阿北在我就在,支持國家利益大於政黨利益,人民群眾
利益為優先,監督黨工職清廉從政,終身不任支薪黨工
職以監督黨為首要,支持民眾黨成為執政黨以達成還富
於民之目標"
"台
東
縣",2,,"翁
瑾
諺",86,男,無,"台
東
縣","台
東
市","南華大學生死學系
社會工作組","長照個案管理師
財團法人台東縣柏林老
人養護中心
財團法人一粒麥子社會
福利慈善事業基金會","大家好,我是瑾諺(曉咖)
經過深思熟慮後決定參加本次黨代表選舉,我開始從事
長照行業至今大多服務老人及身障,對於弱勢關懷及公
私部門溝通協調有相關經驗,希望透過自己的社福背景
經歷協助黨員及縣民,加上平時與地方黨部溝通聯繫熱
絡,期望可以將黨員聲音完整傳達到地方及中央。以下
是我的政見
1.建立良好溝通管道,讓黨員的聲音可以確實傳達至中
央。
2.將黨中央政策及建議透過地方黨部等平台讓黨員了解
並收集回饋。
3.加強黨員互動,凝聚本黨向心力。
4.推廣民眾黨理念讓更多縣民了解,落實地方扎根。
5.與協會合作透過活動形式讓更多人認識及認同民眾
黨。
以上簡短說明,如有不足歡迎各方指教,拜託大家給瑾
諺一個機會,謝謝大家。"
